text,label_spam,label_category
Win a free trip to Bahamas now!,1,Promotions
Team sync-up at 3PM in Meeting Room A,0,Work
You’ve been selected as a winner! Click to claim.,1,Promotions
Lunch tomorrow with the new intern team,0,Work
Get 50% off on your next purchase,1,Promotions
Submit your final project by Monday,0,Work
Congratulations! You've won a free laptop,1,Promotions
Birthday party at my place on Saturday,0,Social
Exclusive offer: Buy 1 Get 1 Free!,1,Promotions
Quarterly performance review meeting,0,Work
Reminder: Doctor appointment at 5 PM,0,Social
"Claim your ₹10,000 reward before it expires",1,Promotions
Let's meet at the cafe to catch up,0,Social
Upcoming client meeting: confirm attendance,0,Work
Free coupons waiting for you. Grab now!,1,Promotions
Team lunch moved to 1PM,0,Work
"Congratulations, your account is now verified",0,Work
Social event: Potluck party next Friday,0,Social
Click here to win an Apple Watch,1,Promotions
Monthly report submission due tomorrow,0,Work
